id,timestamp,severity,service,description,root_cause,resolution
23,2024-05-10 09:30:00,critical,infrastructure,SSH access to all VMs lost,iptables rules flushed during firewall update script removed SSH allow rule,Restored SSH rule via VirtualBox console access and added iptables-persistent with SSH rule pinned
24,2024-05-15 16:15:00,high,app-server,WebSocket connections dropping every 60 seconds,Nginx proxy_read_timeout default of 60s closing idle WebSocket connections,Set proxy_read_timeout to 3600s and added WebSocket-specific proxy headers (Upgrade Connection)
25,2024-05-20 12:00:00,medium,web-server,High rate of 404 errors in access logs after URL migration,Old URL paths not redirected to new API versioned endpoints,Added nginx rewrite rules for v1 to v2 URL mapping and 301 redirects for deprecated paths
26,2024-05-25 21:00:00,critical,database,Primary database server crashed and failover did not activate,Replication monitoring was disabled and secondary server had fallen 6 hours behind,Re-enabled replication monitoring alerts and implemented automated failover with 30-second detection
27,2024-06-01 07:00:00,high,infrastructure,Disk I/O wait times exceeding 500ms causing application slowness,Noisy neighbor VM on same physical host consuming excessive disk bandwidth,Migrated VM to dedicated host and configured I/O scheduler to deadline for better latency
28,2024-06-05 13:30:00,medium,app-server,Healthcheck endpoint returning 200 but application functionally broken,Healthcheck only verified process running not actual database connectivity,Enhanced healthcheck to verify DB connection Redis connection and return degraded status
29,2024-06-10 02:15:00,critical,web-server,TLS handshake failures after OpenSSL security update,Updated OpenSSL deprecated TLS 1.0/1.1 protocols still configured in Nginx,Updated Nginx ssl_protocols to TLS 1.2 and 1.3 only and regenerated DH parameters
30,2024-06-15 10:00:00,high,database,Query cache hit ratio dropped from 90% to 10% after restart,MySQL query cache invalidated on restart and warm-up queries not configured,Added query cache warm-up script to systemd service ExecStartPost and implemented application-level caching with Redis
31,2024-06-20 18:45:00,medium,infrastructure,Monitoring gaps showing no data for 2-hour window,Node Exporter process killed by OOM killer during memory pressure event,Set OOMScoreAdjust=-500 for Node Exporter service and added memory reservation
32,2024-06-25 05:30:00,critical,app-server,Zero-day vulnerability CVE exploitation attempt detected in logs,Outdated dependency with known RCE vulnerability in JSON parsing library,Emergency patched dependency and added automated CVE scanning to CI pipeline with blocking policy
